 499 0.002030634502067259
a 3082 0.012541914900543672
aa 41 0.00016684572061073674
aaa 35 0.00014242927369209233
aaaaanyway 1 4.069407819774066e-06
aabr 6 2.44164469186444e-05
aaca 1 4.069407819774066e-06
aad 1 4.069407819774066e-06
aae 2 8.138815639548132e-06
aaec 1 4.069407819774066e-06
aaf 2 8.138815639548132e-06
aax 1 4.069407819774066e-06
ab 16 6.511052511638506e-05
ababa 1 4.069407819774066e-06
abb 1 4.069407819774066e-06
abcn 1 4.069407819774066e-06
abda 1 4.069407819774066e-06
abhlb 1 4.069407819774066e-06
ability 4 1.6277631279096265e-05
abiword 1 4.069407819774066e-06
abject 3 1.22082234593222e-05
able 40 0.00016277631279096265
abns 1 4.069407819774066e-06
aborted 1 4.069407819774066e-06
about 231 0.0009400332063678094
above 35 0.00014242927369209233
abroad 2 8.138815639548132e-06
absence 5 2.034703909887033e-05
absolutely 2 8.138815639548132e-06
abssynian 1 4.069407819774066e-06
abstraction 1 4.069407819774066e-06
abundantly 2 8.138815639548132e-06
abuse 5 2.034703909887033e-05
abys 1 4.069407819774066e-06
abyssinian 3 1.22082234593222e-05
ac 46 0.00018719275970960705
aca 1 4.069407819774066e-06
acacb 1 4.069407819774066e-06
academic 1 4.069407819774066e-06
acb 2 8.138815639548132e-06
acc 36 0.0001464986815118664
accept 54 0.00021974802226779958
acces 1 4.069407819774066e-06
access 40 0.00016277631279096265
accesses 1 4.069407819774066e-06
accessible 2 8.138815639548132e-06
accessories 2 8.138815639548132e-06
accidental 5 2.034703909887033e-05
accidentally 3 1.22082234593222e-05
accompanied 1 4.069407819774066e-06
accomplish 1 4.069407819774066e-06
accomplishes 1 4.069407819774066e-06
according 5 2.034703909887033e-05
account 8 3.255526255819253e-05
accountant 4 1.6277631279096265e-05
accounts 1 4.069407819774066e-06
accumulate 2 8.138815639548132e-06
accumulated 1 4.069407819774066e-06
accuracy 1 4.069407819774066e-06
accurate 1 4.069407819774066e-06
accuse 1 4.069407819774066e-06
acee 1 4.069407819774066e-06
acer 6 2.44164469186444e-05
